name,pos,team,bye,tier,projected$,vbd,aav
"Blake Grupe",K,NYJ,13,K2,0,-20.3,1
"Chad Ryland",K,ARI,14,K2,0,-20.9,0
"Ryan Fitzgerald",K,CAR,5,K2,0,-24,0
"Matt Gay",K,LV,13,K2,0,-25.9,1
"Andre Szmyt",K,CLE,11,K2,0,-29.9,0
"Dominic Zvada",K,NYG,8,K2,0,-48.5,0
"Brian Robinson Jr.",RB,ATL,11,RB8,-0.12,-0.35,5.2
"Calvin Ridley",WR,TEN,9,WR7,-0.28,-0.79,1
"Makai Lemon",WR,PHI,10,WR7,-0.42,-1.21,1.8
"Terrance Ferguson",TE,LAR,11,TE6,-0.47,-1.33,1
"Tank Bigsby",RB,PHI,10,RB8,-0.49,-1.39,1.2
"Denzel Boston",WR,CLE,11,WR7,-0.7,-1.99,1.1
"Cade Otton",TE,TB,10,TE6,-0.72,-2.06,1
"C.J. Stroud",QB,HOU,8,QB4,-0.94,-2.68,1.1
"AJ Barner",TE,SEA,11,TE6,-0.99,-2.82,1.2
"Chig Okonkwo",TE,WAS,7,TE6,-1.02,-2.91,1.1
