name,pos,team,bye,tier,projected$,vbd,aav
"Quintin Morris",TE,JAC,7,TE8,-18.52,-52.82,0
"Cole Turner",TE,MIA,6,TE8,-18.52,-52.82,0
"Tanner Hudson",TE,CIN,6,TE8,-18.52,-52.82,0
"Ben Sims",TE,MIA,6,TE8,-18.52,-52.82,0
"Jelani Woods",TE,NYJ,13,TE8,-18.52,-52.82,0
"Lucas Krull",TE,DEN,10,TE8,-18.52,-52.82,0
"Julian Hill",TE,NE,11,TE8,-18.52,-52.82,0
"Tip Reiman",TE,ARI,14,TE8,-18.52,-52.82,0
"CJ Dippre",TE,TB,10,TE8,-18.52,-52.82,0
"Odell Beckham Jr.",WR,NYG,8,WR8,-18.74,-53.47,0
"Tez Johnson",WR,TB,10,WR8,-18.97,-54.11,1
"Jimmy Horn Jr.",WR,CAR,5,WR8,-18.98,-54.15,0
"Jordan Whittington",WR,LAR,11,WR8,-19.07,-54.41,0
"Konata Mumpfield",WR,LAR,11,WR8,-19.27,-54.98,0
"Barion Brown",WR,NO,8,WR8,-19.51,-55.65,0
"KeAndre Lambert-Smith",WR,LAC,7,WR8,-19.56,-55.79,0
"Jalen Royals",WR,KC,5,WR8,-19.57,-55.82,0
"Laquon Treadwell",WR,IND,13,WR8,-19.75,-56.33,0
"Bo Melton",WR,GB,11,WR8,-19.81,-56.52,0
"Tay Martin",WR,DET,6,WR8,-20.07,-57.25,0
"Malachi Corley",WR,CLE,11,WR8,-20.19,-57.59,0
"Derius Davis",WR,LAC,7,WR8,-20.57,-58.69,0
"Dohnte Meyers",WR,CIN,6,WR8,-20.64,-58.87,0
"Xavier Smith",WR,LAR,11,WR8,-20.72,-59.11,0
"Jacob Cowing",WR,SF,8,WR8,-20.75,-59.19,0
"Efton Chism III",WR,NE,11,WR8,-20.76,-59.21,0
"Jonathan Mingo",WR,DAL,14,WR8,-20.85,-59.47,0
"Darius Cooper",WR,PHI,10,WR8,-20.86,-59.51,0
"Josh Cameron",WR,JAC,7,WR8,-20.94,-59.73,0
"Tai Felton",WR,MIN,6,WR8,-20.94,-59.75,0
"Brycen Tremayne",WR,CAR,5,WR8,-21,-59.9,0
"Reggie Virgil",WR,ARI,14,WR8,-21.04,-60.01,0
"Dareke Young",WR,LV,13,WR8,-21.06,-60.08,0
"Arian Smith",WR,NYJ,13,WR8,-21.5,-61.34,0
"Ben Skowronek",WR,PIT,9,WR8,-21.57,-61.53,0
"Kameron Johnson",WR,TB,10,WR8,-21.81,-62.22,0
"Kaden Wetjen",WR,PIT,9,WR8,-21.82,-62.24,0
"Tua Tagovailoa",QB,ATL,11,QB5,-21.94,-62.58,1
"Braxton Berrios",WR,NYG,8,WR8,-22.13,-63.12,0
"Gunner Olszewski",WR,NYG,8,WR8,-22.13,-63.12,0
"Devin Duvernay",WR,ARI,14,WR8,-22.13,-63.12,0
"Tylan Wallace",WR,CLE,11,WR8,-22.13,-63.12,0
"Skyy Moore",WR,GB,11,WR8,-22.13,-63.12,0
"Jalen Brooks",WR,ARI,14,WR8,-22.13,-63.12,0
"Nikko Remigio",WR,KC,5,WR8,-22.13,-63.12,0
"Tyrell Shavers",WR,BUF,7,WR8,-22.13,-63.12,0
"Mason Tipton",WR,NO,8,WR8,-22.13,-63.12,0
"Dont'e Thornton Jr.",WR,LV,13,WR8,-22.13,-63.12,0
"LaJohntay Wester",WR,BAL,13,WR8,-22.13,-63.12,0
"Ke'Shawn Williams",WR,CIN,6,WR8,-22.13,-63.12,0
"Myles Price",WR,MIN,6,WR8,-22.13,-63.12,0
"Deshaun Watson",QB,CLE,11,QB5,-22.89,-65.3,1
"Shedeur Sanders",QB,CLE,11,QB6,-28,-79.88,1
"Michael Penix Jr.",QB,ATL,11,QB6,-29.32,-83.65,0
"Kirk Cousins",QB,LV,13,QB7,-38.34,-109.39,1
"Carson Beck",QB,ARI,14,QB7,-41.4,-118.09,0
"Ty Simpson",QB,LAR,11,QB7,-43.3,-123.52,0
"Marcus Mariota",QB,WAS,7,QB7,-43.45,-123.95,0
"Riley Leonard",QB,IND,13,QB7,-44.24,-126.19,0
"Justin Fields",QB,KC,5,QB7,-44.41,-126.7,0
"Anthony Richardson Sr.",QB,IND,13,QB7,-44.41,-126.7,0
"J.J. McCarthy",QB,MIN,6,QB7,-44.46,-126.83,1
"Jameis Winston",QB,NYG,8,QB7,-44.57,-127.14,0
"Jarrett Stidham",QB,DEN,10,QB7,-44.61,-127.28,0
"Tommy DeVito",QB,NE,11,QB7,-44.62,-127.28,0
"Tyson Bagent",QB,CHI,10,QB7,-44.62,-127.29,0
"Davis Mills",QB,HOU,8,QB7,-44.7,-127.51,0
"Joshua Dobbs",QB,DET,6,QB7,-44.75,-127.65,0
"Mac Jones",QB,SF,8,QB7,-44.75,-127.65,0
"Tyrod Taylor",QB,GB,11,QB7,-44.75,-127.66,0
"Quinn Ewers",QB,JAC,7,QB7,-44.76,-127.69,0
"Joe Flacco",QB,CIN,6,QB7,-44.77,-127.71,0
"Tanner McKee",QB,PHI,10,QB7,-44.77,-127.71,0
"Kenny Pickett",QB,CAR,5,QB7,-44.78,-127.74,0
"Drew Allar",QB,PIT,9,QB7,-44.79,-127.79,0
"Trey Lance",QB,LAC,7,QB7,-44.8,-127.82,0
"Tyler Huntley",QB,BAL,13,QB7,-44.81,-127.82,0
"Sam Howell",QB,DAL,14,QB7,-44.81,-127.84,0
"Spencer Rattler",QB,NO,8,QB7,-44.83,-127.89,0
"Jalon Daniels",QB,TB,10,QB7,-44.85,-127.93,0
"Andy Dalton",QB,PHI,10,QB7,-44.86,-127.97,0
"Drew Lock",QB,SEA,11,QB7,-44.88,-128.04,0
"Gardner Minshew II",QB,ARI,14,QB7,-44.93,-128.18,0
"Cole Payton",QB,PHI,10,QB7,-44.98,-128.32,0
"Cade Klubnik",QB,NYJ,13,QB7,-45,-128.38,0
"Kyle Allen",QB,BUF,7,QB7,-45,-128.38,0
"Jalen Milroe",QB,SEA,11,QB7,-45.02,-128.44,0
"Mitchell Trubisky",QB,TEN,9,QB7,-45.04,-128.49,0
"Kyle McCord",QB,MIA,6,QB7,-45.22,-129.01,0
"Joe Milton III",QB,DAL,14,QB7,-45.52,-129.85,0
"Will Howard",QB,PIT,9,QB7,-45.62,-130.14,0
"Mason Rudolph",QB,PIT,9,QB7,-45.62,-130.15,0
"Stetson Bennett IV",QB,LAR,11,QB7,-45.68,-130.32,0
"Brady Cook",QB,MIA,6,QB7,-45.73,-130.46,0
"Nick Mullens",QB,JAC,7,QB7,-46.6,-132.92,0
"Josh Johnson",QB,CIN,6,QB7,-46.6,-132.92,0
"Aidan O'Connell",QB,LV,13,QB7,-46.6,-132.92,0
